year,acres
1918,563000
1919,7590000
1920,1708000
1921,2142000
1922,3323000
1923,6197000
1924,1985000
1925,1316000
1926,1824000
1927,472000
1928,1346000
1929,6029000
1930,2670000
1931,2094000
1932,2464000
1933,1009000
1934,1475000
1935,856000
1936,3027000
1937,4271000
1938,3126000
1939,1115000
1940,2691000
1941,4253000
1942,1838000
1943,828000
1944,2403000
1945,742000
1946,1017000
1947,613000
1948,3185000
1949,2599000
1950,2227000
1951,896000
1952,975000
1953,1358000
1954,264000
1955,1375000
1956,2016000
1957,452000
1958,3292000
1959,538000
1960,1471000
1961,9313000
1962,864000
1963,470000
1964,2993000
1965,521000
1966,1144000
1967,2212000
1968,2212000
1969,2331000
1970,2616000
1971,2445000
1972,1927000
1973,808000
1974,1963000
1975,898000
1976,2764000
1977,2073000
1978,500000
1979,1740000
1980,8592000
1981,10856000
1982,2818000
1983,2284000
1984,1419000
1985,1328000
1986,1329000
1987,1479000
1988,3084000