year,wheat
1961,7528.55
1962,14183.18
1963,17650.6
1964,13603.76
1965,15431.76
1966,18739.1
1967,13238.6
1968,14854.86
1969,18084.3
1970,17863.51
1971,18351.41
1972,16798.97
1973,16876.4
1974,14884.2
1975,18019.92
1976,20963.23
1977,19631.66
1978,19987.33
1979,16341.19
1980,17212.09
1981,19958.8
1982,21336.16
1983,19345.06
1984,16099.13
1985,17664.8
1986,22051.53
1987,19278.93
1988,12293.44
1989,18076.33
1990,22768.58
1991,22559.02
1992,21602.71
1993,22026.75
1994,21274.95
1995,22467.03
1996,24303.87
1997,21280.03
1998,22549.6
1999,25967.54
2000,24445.87
2001,19452.36
2002,18324.21
2003,22564.59
2004,26409.38
2005,27380.53
2006,26095.77
2007,23220.59
2008,28520.69
2009,27855.41
2010,28017.46
2011,29567.63
2012,28645.5
2013,35942.73